Rank,SMILES,Binding_Affinity_kcal_mol,Model,Prompt,Previously_Found,Compound_Name,Binding_Residues
1,C1C(C[C@H](C([C@@H]1OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)(O)C(=O)O,-9.7,crashed 2 - gemma,9,False,"trans-(3R,5R)-3,5-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-1,4-dihydroxycyclohexane-1-carboxylic acid","UNK0, F43602, TYR366, PHE440, PHE360"
2,CC[C@H](C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,-9.6,gemma - 3,12,True,Lovastatin,"UNK0, F43602, TYR366, PHE440, PHE360"
3,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C,-9.5,gemma - 5,12,False,"[(1S,3R,7S,8S,8aR)-8-[2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl]-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl] 2,2-dimethylbutanoate","UNK0, F43602, TYR366, PHE440, PHE360"
4,C1=CC(=CC=C1/C=C/C(=O)/C=C/C2=CC=C(C=C2)O)O,-9.1,gemma 3,13,False,"(1E,4E)-1,5-bis(4-hydroxyphenyl)penta-1,4-dien-3-one","UNK0, F43602, TYR366, PHE440, PHE360"
5,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C(C(=C(C=C2)O)O)/C=C/C3=CC(=C(C=C3)O)O)O)O,-9.0,gemma - 2,12,False,"(2R)-3-(3,4-dihydroxyphenyl)-2-[(E)-3-[2-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-3,4-dihydroxyphenyl]prop-2-enoyl]oxypropanoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
6,CC1=CC[C@H](CC1)C(=C)CCC=C(C)C,-9.0,gemma - 2,12,False,"(4S)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohexene","UNK0, F43602, TYR366, PHE440, PHE360"
7,C1[C@H]([C@@H]([C@@H](C[C@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,-8.7,crashed 2 - gemma,9,False,"(1R,3R,4S,5R)-3,4-bis[[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy]-1,5-dihydroxycyclohexane-1-carboxylic acid","UNK0, F43602, TYR366, PHE440, PHE360"
8,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O,-8.6,gemma 5,13,False,"(2S,3R,4S,5S,6R)-2-[3-[(E)-2-(3,4-dihydroxyphenyl)ethenyl]-5-hydroxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol","UNK0, F43602, TYR366, PHE440, PHE360"
9,CC(C)=CCC(C)=C1CCC(C1)C=C,-8.5,gemma 4,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
10,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,-8.2,gemma 5,13,False,"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chromen-4-one","UNK0, F43602, TYR366, PHE440, PHE360"
11,C1C(C(C(CC1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,-8.1,crashed 2 - gemma,9,False,"3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid","UNK0, F43602, TYR366, PHE440, PHE360"
12,CC(C)=CCC(C)=CC(C)C,-8.1,gemma 4,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
13,C1=CC(=C(C=C1O)C2=CC(=C(C=C2O)C3=CC(=C(C=C3)O)O)O)O,-8.1,gemma,10,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
14,CC1=CCC(CC1)C(=CCC=C(C)C)C,-8.0,gemma 3,13,False,"1-methyl-4-(6-methylhepta-2,5-dien-2-yl)cyclohexene","UNK0, F43602, TYR366, PHE440, PHE360"
15,CCCCCCC=CC(=O)O,-7.9,gemma 4,13,False,non-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
16,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](CO)[C@H](C2=CC(=C(C=C2)O)O)O)O)O,-7.9,gemma 5,13,False,"[(1S,2S)-1-(3,4-dihydroxyphenyl)-1,3-dihydroxypropan-2-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","UNK0, F43602, TYR366, PHE440, PHE360"
17,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](CO)[C@@H](C2=CC(=C(C=C2)O)O)O)O)O,-7.9,gemma 5,13,False,"[(1R,2S)-1-(3,4-dihydroxyphenyl)-1,3-dihydroxypropan-2-yl] (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","UNK0, F43602, TYR366, PHE440, PHE360"
18,CC(=CCCC(=CCCC(=CC=O)C)C)C,-7.9,gemma - 2,12,False,,"UNK0, F43602, TYR366, PHE440, PHE360"
19,CC(C)=CCC(C)=CCC(C)O,-7.8,gemma,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
20,C1=CC(=CC=C1/C=C/C2=CC(=CC(=O)O2)O)O,-7.7,gemma - 4,12,False,4-hydroxy-6-[(E)-2-(4-hydroxyphenyl)ethenyl]pyran-2-one,"UNK0, F43602, TYR366, PHE440, PHE360"
21,CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O,-7.7,gemma 2,13,False,"ethyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","UNK0, F43602, TYR366, PHE440, PHE360"
22,CC(=CCCC(=C)C=C)CCC=C(C)C=O,-7.6,gemma - 2,12,False,"2,6-dimethyl-10-methylidenedodeca-2,6,11-trienal","UNK0, F43602, TYR366, PHE440, PHE360"
23,CCCCCCCCCC(=O)O,-7.6,gemma - 2,12,True,Capric Acid,"UNK0, F43602, TYR366, PHE440, PHE360"
24,C1=CC(=CC=C1CCC2=CC(=CC(=C2)O)O)O,-7.6,gemma 5,13,False,"5-[2-(4-hydroxyphenyl)ethyl]benzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
25,CCCCCCCCCCCC(=O)O,-7.6,gemma - 5,12,False,dodecanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
26,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O,-7.5,gemma 5,13,False,"4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]benzene-1,2-diol","UNK0, F43602, TYR366, PHE440, PHE360"
27,CCCCCCCCC(=O)O,-7.5,gemma - 2,12,False,nonanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
28,CCCCC=CC(=O)O,-7.5,gemma 4,13,False,hept-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
29,C/C(=C\\CCC(=C)C=C)/CC/C=C(\\C)/C=O,-7.5,gemma - 2,12,False,"(2E,6E)-2,6-dimethyl-10-methylidenedodeca-2,6,11-trienal","UNK0, F43602, TYR366, PHE440, PHE360"
30,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,-7.4,gemma 5,13,False,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
31,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O,-7.4,gemma 5,13,False,"4-[(E)-2-(3,5-dihydroxyphenyl)ethenyl]benzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
32,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,-7.4,gemma 5,13,False,4-[(4-hydroxyphenyl)methyl]phenol,"UNK0, F43602, TYR366, PHE440, PHE360"
33,C1=CC(=CC(=C1)O)/C=C/C(=O)O,-7.4,qwen,11,False,(E)-3-(3-hydroxyphenyl)prop-2-enoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
34,CC(=O)C=CC1=CC=C(C=C1)O,-7.4,gemma 3,13,False,4-(4-hydroxyphenyl)but-3-en-2-one,"UNK0, F43602, TYR366, PHE440, PHE360"
35,CC(=CCC/C(=C/C=O)/C)C,-7.4,gemma - 3,12,True,Citral,"UNK0, F43602, TYR366, PHE440, PHE360"
36,CCCCCCCCCCCCCCCC(=O)O,-7.4,gemma - 2,12,False,hexadecanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
37,CC(C)=CCC(C)=CCO,-7.3,gemma 4,13,False,"3,6-dimethylhepta-2,5-dien-1-ol","UNK0, F43602, TYR366, PHE440, PHE360"
38,C1=CC(=CC=C1/C=C\\C2=CC(=CC(=C2)O)O)O,-7.3,gemma 5,13,False,"5-[(Z)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
39,CC(C1=CC=CC=C1)C2=C(C=C(C=C2)O)O,-7.3,gemma 5,13,False,"4-(1-phenylethyl)benzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
40,C(=CC=C(C1=CC=C(C=C1)O)O)O,-7.3,gemma,10,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
41,CC(=O)/C=C/C1=CC=C(C=C1)O,-7.3,gemma 3,13,False,(E)-4-(4-hydroxyphenyl)but-3-en-2-one,"UNK0, F43602, TYR366, PHE440, PHE360"
42,C1=CC=C(C=C1O)C=CC(=O)O,-7.3,gemma,10,False,3-(3-hydroxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
43,COC(=O)/C=C/C1=CC=C(C=C1)O,-7.3,gemma - 5,12,False,methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate,"UNK0, F43602, TYR366, PHE440, PHE360"
44,CCCCCCCC(=O)O,-7.3,gemma - 5,12,False,octanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
45,COC1=CC(C=C1)C=CC(=O)O,-7.3,gemma,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
46,COC(=O)/C=C/C1=CC(=C(C=C1)O)O,-7.3,gemma 2,13,False,"methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate","UNK0, F43602, TYR366, PHE440, PHE360"
47,CCCC=CC(=O)O,-7.2,gemma 4,13,False,hex-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
48,C1=CC=C(C(=C1)CC2=CC=C(C=C2)O)O,-7.2,gemma 5,13,False,2-[(4-hydroxyphenyl)methyl]phenol,"UNK0, F43602, TYR366, PHE440, PHE360"
49,C1=CC(C=C1)C=CC(=O)O,-7.2,gemma,13,False,"3-cyclopenta-2,4-dien-1-ylprop-2-enoic acid","UNK0, F43602, TYR366, PHE440, PHE360"
50,C1=CC(=CC=C1C=CC)O,-7.1,gemma,13,False,4-prop-1-enylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
51,C1=CC=C(C=C1)CC2=C(C=C(C=C2)O)O,-7.1,gemma 5,13,False,"4-benzylbenzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
52,C(=CC=C(C1=CC=C(C=C1)OC)O)O,-7.1,gemma,10,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
53,C1=CC(=C(C=C1O)O)C2=C(C=C(C=C2)O)O,-7.1,gemma 5,13,False,"4-(2,4-dihydroxyphenyl)benzene-1,3-diol","UNK0, F43602, TYR366, PHE440, PHE360"
54,C1=C(C=C(C=C1O)O)C2=C(C=C(C=C2O)O)O,-7.1,gemma 5,13,False,"2-(3,5-dihydroxyphenyl)benzene-1,3,5-triol","UNK0, F43602, TYR366, PHE440, PHE360"
55,CCCCCCC(=O)O,-7.1,gemma - 4,12,False,heptanoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
56,CC(=CCC/C(=C\\C=O)/C)C,-7.1,gemma - 2,12,False,"(2Z)-3,7-dimethylocta-2,6-dienal","UNK0, F43602, TYR366, PHE440, PHE360"
57,C1=CC(=CC=C1/C=C/C(=O)O)[O-],-7.0,nemotron,11,False,4-[(E)-2-carboxyethenyl]phenolate,"PHE360, PHE440, UNK0, F43602, TYR366"
58,COc1c(cc(cc1)C=CC(=O)O)O,-7.0,gpt120,11,False,3-(3-hydroxy-4-methoxyphenyl)prop-2-enoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
59,COC1=C(C=C(C=C1)/C=C/C(=O)O)O,-7.0,gemma 2,13,False,(E)-3-(3-hydroxy-4-methoxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
60,CCCCC/C=C(\\C)/C=O,-7.0,gemma - 4,12,False,(E)-2-methyloct-2-enal,"UNK0, F43602, TYR366, PHE440, PHE360"
61,C1=CC(=CC=C1/C=C/C(=O)O)O,-6.9,qwen,11,False,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
62,COC1=CC=C(C=C1)C=CC(=O)O,-6.9,gemma,13,False,3-(4-methoxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
63,C1=CC(=C(C=C1/C=C\\C(=O)O)O)O,-6.9,qwen,11,False,"(Z)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","PHE360, PHE440, UNK0, F43602, TYR366"
64,COC1=C(C=CC(=C1)C=CC)O,-6.9,gemma,13,False,2-methoxy-4-prop-1-enylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
65,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,-6.9,qwen,11,False,"(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","PHE360, PHE440, UNK0, F43602, TYR366"
66,C1=CC(=C(C=C1C=CC(=O)O)O)O,-6.9,nemotron,11,False,"3-(3,4-dihydroxyphenyl)prop-2-enoic acid","PHE360, PHE440, UNK0, F43602, TYR366"
67,CC(=CCCC(=CC=O)C)C,-6.9,gemma 4,13,False,"3,7-dimethylocta-2,6-dienal","UNK0, F43602, TYR366, PHE440, PHE360"
68,C1=CC=C(C=C1)C2=C(C=CC(=C2)O)O,-6.9,gemma 5,13,False,"2-phenylbenzene-1,4-diol","UNK0, F43602, TYR366, PHE440, PHE360"
69,C1=CC(=CC=C1/C=C\\\\C(=O)O)O,-6.9,nemotron,11,False,,"PHE360, PHE440, UNK0, F43602, TYR366"
70,C1=CC(=CC=C1/C=C/C=O)O,-6.9,gemma - 5,12,False,(E)-3-(4-hydroxyphenyl)prop-2-enal,"UNK0, F43602, TYR366, PHE440, PHE360"
71,O=C1C=CC=CC2=C1C=C(OC)C=C2O,-6.8,gemma,13,False,PubChem CID: None,"UNK0, F43602, TYR366, PHE440, PHE360"
72,C/C=C/C1=CC(=C(C=C1)O)OC,-6.8,gemma - 5,12,False,2-methoxy-4-[(E)-prop-1-enyl]phenol,"UNK0, F43602, TYR366, PHE440, PHE360"
73,C1=CC(=CC=C1/C=C\\C(=O)O)O,-6.8,gemma,11,False,(Z)-3-(4-hydroxyphenyl)prop-2-enoic acid,"PHE360, PHE440, UNK0, F43602, TYR366"
74,COC1=CC(=C(C=C1)C=CC)O,-6.8,gemma,13,False,5-methoxy-2-prop-1-enylphenol,"UNK0, F43602, TYR366, PHE440, PHE360"
75,C1=CC(=CC=C1/C=C(\\C(=O)O)/F)O,-6.8,gemma - 4,12,False,(E)-2-fluoro-3-(4-hydroxyphenyl)prop-2-enoic acid,"UNK0, F43602, TYR366, PHE440, PHE360"
