action,current_model,current_prompt,model,prompt,rank,smiles
ADD,,,devstral,11,,C1=CC(=C(C=C1/C=C\[13C](=O)O)O)O
ADD,,,nemotron,11,,C1=CC(=CC(=C1)O)/[13CH]=[13CH]/[13C](=O)O
ADD,,,gpt,8,,C1[C@H]([C@@H]([C@H](C[C@@]1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O
ADD,,,unknown,9,,C1[C@H]([C@@H]([C@H](C[C@@]1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O)O
ADD,,,gemma,12,,CC(=CCC/C(=C\C=O)/C)C
ADD,,,gemma,12,,CCCCC/C=C(\C)/C=O
ADD,,,gemma 4,13,,CCCCC/C=C(\C)/C=O
REMOVE/VERIFY,gemma,10,,,52,C(=CC=C(C1=CC=C(C=C1)OC)O)O
REMOVE/VERIFY,gemma - 2,12,,,176,C(Br)(Br)Br
REMOVE/VERIFY,gemma - 2,12,,,175,C(Br)Br
REMOVE/VERIFY,gemma 3,13,,,172,C(C(C(=O)O)N)S
REMOVE/VERIFY,gemma - 5,12,,,179,C(I)(I)I
REMOVE/VERIFY,gemma - 2,12,,,29,C/C(=C\\CCC(=C)C=C)/CC/C=C(\\C)/C=O
REMOVE/VERIFY,gemma,13,,,121,C/C=C/C(=O)O
REMOVE/VERIFY,gemma,11,,,135,C/C=C/S(=O)C[C@@H](C(=O)O)N
REMOVE/VERIFY,nemotron,11,,,151,C/C=C/S(=O)C[C@@H](C(=O)[O-])[NH3+]
REMOVE/VERIFY,gemma 5,13,,,54,C1=C(C=C(C=C1O)O)C2=C(C=C(C=C2O)O)O
REMOVE/VERIFY,gemma 5,13,,,169,C1=CC(=C(C(=C1)O)O)O
REMOVE/VERIFY,gemma,13,,,104,C1=CC(=C(C=C1)/C=C/C(=O)O)O
REMOVE/VERIFY,gemma 4,13,,,105,C1=CC(=C(C=C1)O)/C=C/C(=O)O
REMOVE/VERIFY,gemma 5,13,,,17,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](CO)[C@@H](C2=CC(=C(C=C2)O)O)O)O)O
REMOVE/VERIFY,gemma 5,13,,,16,C1=CC(=C(C=C1/C=C/C(=O)O[C@@H](CO)[C@H](C2=CC(=C(C=C2)O)O)O)O)O
REMOVE/VERIFY,gemma 5,13,,,26,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O)O)O)O
REMOVE/VERIFY,gemma 5,13,,,8,C1=CC(=C(C=C1/C=C/C2=CC(=CC(=C2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
REMOVE/VERIFY,gemma 3,13,,,80,C1=CC(=C(C=C1/C=C/C=O)O)O
REMOVE/VERIFY,qwen,11,,,63,C1=CC(=C(C=C1/C=C\\C(=O)O)O)O
REMOVE/VERIFY,nemotron,11,,,108,C1=CC(=C(C=C1/C=C\\\\C(=O)O)O)O
REMOVE/VERIFY,gemma 2,13,,,116,C1=CC(=C(C=C1C(=O)O)O)O
REMOVE/VERIFY,nemotron,11,,,66,C1=CC(=C(C=C1C=CC(=O)O)O)O
REMOVE/VERIFY,gemma - 2,12,,,5,C1=CC(=C(C=C1C[C@H](C(=O)O)OC(=O)/C=C/C2=C(C(=C(C=C2)O)O)/C=C/C3=CC(=C(C=C3)O)O)O)O
REMOVE/VERIFY,gemma,10,,,13,C1=CC(=C(C=C1O)C2=CC(=C(C=C2O)C3=CC(=C(C=C3)O)O)O)O
REMOVE/VERIFY,gemma 5,13,,,31,C1=CC(=C(C=C1O)O)/C=C/C2=CC(=CC(=C2)O)O
REMOVE/VERIFY,gemma,10,,,76,C1=CC(=C(C=C1O)O)C(=O)O
REMOVE/VERIFY,gemma 5,13,,,53,C1=CC(=C(C=C1O)O)C2=C(C=C(C=C2)O)O
REMOVE/VERIFY,gemma - 4,12,,,75,C1=CC(=CC=C1/C=C(\\C(=O)O)/F)O
REMOVE/VERIFY,nemotron,11,,,57,C1=CC(=CC=C1/C=C/C(=O)O)[O-]
REMOVE/VERIFY,gemma 5,13,,,30,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
REMOVE/VERIFY,gemma - 4,12,,,20,C1=CC(=CC=C1/C=C/C2=CC(=CC(=O)O2)O)O
REMOVE/VERIFY,gemma - 5,12,,,70,C1=CC(=CC=C1/C=C/C=O)O
